id,name,keywords,description,public_notice,internal_notice,websitename,websiteadresse
148918,reva Wear US,,,,,reva Wear US,http://revawear.com
148919,ShoeDeals4u US,,,,,ShoeDeals4u US,http://www.shoedeals4u.com
148920,Teacher Peach US,,,,,Teacher Peach US,http://teacherpeach.com
148921,The Other Butter US,,,,,The Other Butter US,http://www.theotherbutter.com
148922,Thimblepress US,,,,,Thimblepress US,http://www.thimblepress.com
148923,Kingdom Under Fire 2 RU,,,,,Aion [CPP] RU + CIS RU,https://ru.4game.com
148924,Ajaresorts DE,,,,,aja - Das Resort DE,https://www.aja.de
148925,Autoradio24 FR,,,,,Autoradio24 FR,http://autoradio24.fr
148926,bareMinerals FR,,,,,bareMinerals FR,http://www.bareminerals.fr
148927,Combat Arms DE,,,,,Combat Arms (DOI) DE,http://de.combatarms.nexoneu.com
148928,Dondisfraz ES,,,,,Don Disfraz ES,https://www.dondisfraz.com
148929,Elvenar DE,,,,,Elvenar (SOI) DE,https://www.innogames.com
148930,Fashionandtrends NL,,,,,Fashionandtrends NL,http://www.fashionandtrends.nl
148931,Hoteling UK,,,,,Hoteling UK,http://www.hoteling.com
148932,Kavehome ES,,,,,Kave Home FR,https://kavehome.com
148933,Lepigen NO,,,,,Lepigen NO,https://lepigen.no
148935,MageRealm DE,,,,,League of Angels III [SOI] Many GEOs US,https://loa3.gtarcade.com
148936,MediaMarkt RU,,,,,Media Markt RU,http://mediamarkt.ru
148937,Monuko PL,,,,,Monuko PL,http://monuko.com
148938,Naugthybook SE,,,,,Naugthybook.se DOI SE,https://www.naughtybook.se
148939,Nettirahoitus FI,,,,,Nettirahoitus FI,http://www.nettirahoitus.fi
148940,ophang-systemen NL,,,,,ophang-systemen NL,http://www.ophang-systemen.nl
148941,Rafael Hoteles ES,,,,,Rafael Hotels ES,https://www.rafaelhoteles.com
148942,San Gaspano DE,,,,,San Gaspano,https://promo.sangaspano.it
148943,Seas ES,,,,,Seas ES,http://www.eligetucurso.es
148944,Seccion Amarilla MX,,,,,Seccion Amarilla MX ES,http://mipaginaweb.seccionamarilla.com.mx
148945,Skidome BE,,,,,Skidome BE,http://skidome.be
148946,Snappcar NL,,,,,Snappcar NL,http://www.snappcar.nl
148947,Weeborn DE,,,,,Weeborn DE,https://www.weeborn.de
148948,Fashion Boulevard UK,,,,,Fashion Boulevard EU,http://www.fashionboulevard.uk
148949,Princesse Tam Tam FR,,,,,Princesse tam.tam FR,http://www.princessetamtam.com
148950,Walbusch AT,,,,,Walbusch. AT,https://www.walbusch.at
148951,Schlafwelt CH,,,,,IDEAS-for-HOME CH - Ihr Spezialist fA?r MA�bel CH,https://www.ideas-for-home.ch
148952,Walbusch CH,,,,,walbusch,https://www.walbusch.ch
148953,HMR - Healthy Solutions at Home US,,,,,HMR - Healthy Solutions at Home,https://www.hmrprogram.com
148954,Boards Direct UK,,,,,Boards Direct UK,http://www.boardsdirect.co.uk
148955,Easy Alarms Direct UK,,,,,Easy Alarms Direct US,http://www.easyalarmsdirect.com
