Name,Url,Category
schecker.de - migrated,http://www.schecker.de,Retail & Shopping
Telfort NL,http://www.telfort.nl,"Telco's & Services"
avira.com DE,http://www.avira.com,"Telco's & Services"
bombshell-shop  CH,http://www.bombshell-shop.ch,Retail & Shopping
Venchi IT,http://www.venchi.com,Retail & Shopping
Netshoes - Santos Store BR,http://www.santosstore.com.br,Retail & Shopping
Leisure-Sports DE,http://www.leisure-sports.de,Retail & Shopping
Matrazzo DE,http://www.matrazzo.de,Retail & Shopping
Tyres Outlet EU,http://www.mein-reifen-outlet.de,Retail & Shopping
Leu Erdgas DE,http://www.leu-erdgas.de,"Telco's & Services"
Folletto IT,http://folletto.vorwerk.it,Retail & Shopping
Ovelha Negra BR,http://www.ovelhanegramusical.com.br,Retail & Shopping
Embelleze BR,http://www.embelleze.com,Retail & Shopping
Flexiroam BR,http://www.flexiroam.com.br,Retail & Shopping
eibmarkt at - migrated,http://www.eibmarkt.at,Retail & Shopping
Airline Direct DE,http://www.airline-direct.de,Travel
VW Bank DE - migrated,http://www.volkswagenbank.de,Finance & Insurance
eiretyres.com IE: Migrated 21/12/2017,http://www.eiretyres.com,Retail & Shopping
La Redoute IT: Migrated 02/11/2017,http://www.laredoute.it,Retail & Shopping
VTB Direktbank DE,http://www.vtbdirekt.de,Finance & Insurance
Long Tall Sally DE - migrated,http://de.longtallsally.com,Retail & Shopping
Clarks ES: Migrated 26/01/2018,http://www.clarks.es,Retail & Shopping
noicompriamoauto IT,http://www.noicompriamoauto.it,Retail & Shopping
Wineowine IT,http://www.wineowine.com,Retail & Shopping
creoven.DE - migrated,http://www.creoven.de,Retail & Shopping
Polo Motorrad CH - migrated,http://www.polo-motorrad.ch,Retail & Shopping
eoffice24 DE,http://www.eoffice24.com,Retail & Shopping
Hausmed DE - migrated,http://www.hausmed.de,Retail & Shopping
Mein Trendy Handy DE - migrated,http://www.meintrendyhandy.de,Retail & Shopping
la-melle DE - migrated,http://la-melle.de,Retail & Shopping
MW Motorsport DE,http://www.italo-tuning.de,Retail & Shopping
Transatlantic_Fitness DE - migrated,http://www.transatlantic-fitness.com,Retail & Shopping
Clube Greens BR,http://clubegreens.com,Retail & Shopping
pneushop.cz,http://www.pneushop.cz,Retail & Shopping
brigitte-st-gallen.ch - migrated,http://www.brigitte-st-gallen.ch,Retail & Shopping
Erwin Müller DE - migrated,http://www.erwinmueller.de,Retail & Shopping
Neu.de - migrated,http://www.neu.de,"Telco's & Services"
3ppp3 CH - migrated,http://www.3ppp3.ch,Retail & Shopping
debitel-light DE,http://www.debitel-light.de,"Telco's & Services"
chocri.de - migrated,http://chocri.de,Retail & Shopping
Lynxbroker DE,http://www.lynxbroker.de,Finance & Insurance
Foodspring DE: Migrated 23/02/2018,http://www.foodspring.de,Retail & Shopping
rosettastone DE - migrated,http://www.rosettastone.de,"Telco's & Services"
Legolanddiscoverycentre DE,http://www.legolanddiscoverycentre.de,Travel
Designbaeder DE - migrated,http://www.designbaeder.com,Retail & Shopping
Emirates AT: Migrated 15/12/2017,http://www.emirates.com,Travel
reifen-online CH,http://www.reifen-online.ch,Retail & Shopping
Petitebox BR,http://petitebox.com.br,Retail & Shopping
TroniTechnik DE - migrated,http://www.tronitechnik.de,Retail & Shopping
aovo Reisen DE,http://www.aovo.de,Travel
compensation2go,http://compensation2go.com,"Telco's & Services"
TheBar.com BR,http://br.thebar.com,Retail & Shopping
