Name,Category,Url
Kampania Lidl_podróże(PL),"
    Travel",https://lidl-podroze.pl
Keko,"
    Shopping & Retail",http://www.keko.pl
KPI kampania,"
    Finance",https://kpimedia.pl
Księgarnia Internetowa PWN,"
    Media & Entertainment, Shopping & Retail, Education & Careers",https://ksiegarnia.pwn.pl
KwiatowyOgrod.pl (PL),"
    Shopping & Retail",http://kwiatowyogrod.pl
Lancerto,"
    Fashion",https://lancerto.com
Leroy Merlin kampania,"
    Home & Garden, Shopping & Retail",http://www.leroymerlin.pl
Link4 OC i AC,"
    Insurance",http://link4.pl
Lufthansa PL,"
    Travel",https://www.lufthansa.com
Maxandmrau,"
    Shopping & Retail",https://www.maxandmrau.pl
Media Markt (PL),"
    Computers & Electronics",http://www.mediamarkt.pl
MediaExpert (PL),"
    Media & Entertainment, Shopping & Retail, Home & Garden",https://www.mediaexpert.pl
Merg.pl (PL),"
    Fashion",https://www.merg.pl
MyButik.pl (PL),"
    Fashion",https://mybutik.pl
Neo24.pl,"
    Computers & Electronics, Shopping & Retail, Home & Garden",http://www.neo24.pl
Neonet,"
    Shopping & Retail",http://www.neonet.pl
Netia kampania,"
    Telecoms & Utilities",https://my.netia.pl
NJU mobile,"
    Telecoms & Utilities",http://www.njumobile.pl
OleOle.pl (PL),"
    Telecoms & Utilities, Shopping & Retail, Computers & Electronics",http://www.oleole.pl
Orange,"
    Telecoms & Utilities, Computers & Electronics",https://www.orange.pl
Philips,"
    Computers & Electronics",https://www.philips.pl
PocztaKwiatowa.pl (PL),"
    Shopping & Retail",https://pocztakwiatowa.pl
Proama,"
    Finance",https://www.proama.pl
PROLINE (PL),"
    Computers & Electronics",https://proline.pl
Promod PL (PL),"
    Shopping & Retail",https://www.promod.pl
Provident,"
    Finance",https://www.provident.pl
Przeglad Lekarski (zamknięty),"
    Health & Beauty",http://przegladlekarski.com
publio.pl (PL),"
    Media & Entertainment",http://www.publio.pl
PUMA PL,"
    Health & Beauty, Fashion, Sports & Recreation",https://pl-eu.puma.com
Ravelo,"
    Home & Garden, Shopping & Retail",https://www.ravelo.pl
