"advertiserId","programName","conversionRate","confirmationRate","approvalTime","epc","confirmationTime","joinDate","paymentStatus","adRank","feedEnabled","parentSectors","subSectors","clickMin","clickMax","leadMin","leadMax","saleMin","saleMax","salePercentageMin","salePercentageMax"
"16430","Gotogate IT: migrated 27.09.2017","0","0 / 0","0","0.00","0","2015-07-30 00:00:00",,"0","no","Travel","Travel Agencies","0","0","0","0","0","0","0","0"
"15537","e-hoi CH - migrated","0","0 / 0","0","0.00","0","2015-04-20 00:00:00",,"0","no","Travel","Cruises/Ferries","","","","","","","4","4.5"
"16469","mybod-e DE","0","100 / 0","0","0.00","0","2015-05-27 00:00:00",,"0","no","Telco's & Services","Education Training & Recruitment","","","","","0.5","14","0","0"
"16093","Regalos ES - Migrated on the 20/9/17","0","0 / 0","60","0.00","60","2015-03-30 00:00:00",,"0","yes","Retail & Shopping","Gifts & Flowers|Group Buying","","","","","","2","9","10"
"16483","Bilderwelten DE - migrated","0","0 / 0","0","0.00","0","2015-07-27 00:00:00",,"0","yes","Retail & Shopping","Home & Garden","","","","","","","5","20"
"17532","Tiqets Benelux: Migrated 09/08/2017","0","0 / 0","0","0.00","0","2016-01-13 00:00:00",,"0","no","Travel","Tickets","","","","","","","6","7"
"16538","La Redoute PL: Migrated 02/11/2017","0","0 / 0","0","0.00","0","2015-08-03 00:00:00",,"0","yes","Retail & Shopping","Clothing|Clothing Accessories|Department Stores|Home & Garden|Lingerie|Menswear|Shoes|Womenswear","","","","","","","8","10"
"16401","Clarins FR: Migrated","0","0 / 0","0","0.00","0","2015-05-19 00:00:00",,"0","yes","Retail & Shopping","Health & Beauty","","","","","","","8","13"
"16404","Clarins ES: Migrated 11/12/2017","0","0 / 0","0","0.00","0","2015-05-21 00:00:00",,"0","yes","Retail & Shopping","Health & Beauty","","","","","","","8","8"
"16643","Bulk Powders FR","0","0 / 0","0","0.00","0","2015-07-09 00:00:00",,"0","yes","Retail & Shopping","Health & Beauty","","","","","","","3","15"
"16352","Lilysilk FR","0","100 / 0","0","0.00","0","2015-04-17 00:00:00",,"0","yes","Retail & Shopping","Clothing|Furniture & Soft Furnishings","","","","","","","5","12"
"16623","Campanda DE - migrated","0","0 / 0","0","0.00","0","2015-07-15 00:00:00",,"0","no","Travel","Tourism & Attractions","","","10","10","20","20","0","0"
"16567","Strandkorb.co - migrated","0","0 / 0","0","0.00","0","2015-05-04 00:00:00",,"0","yes","Retail & Shopping","Home & Garden","","","","","","","6","6"
"16419","Unigro BE - migrated","0","100 / 0","0","0.00","0","2015-03-13 00:00:00",,"0","no","Retail & Shopping","Electronic Accessories|FMCG|Gadgets","","","","","","","4.8","4.8"
"16576","Musement DE","0","100 / 0","0","0.00","0","2015-07-02 00:00:00",,"0","no","Travel","Hotels & Accommodation","","","","","","","7","7"
"16586","Screwfix DE - migrated","0","100 / 0","0","0.00","0","2015-05-08 00:00:00",,"0","yes","Retail & Shopping","DIY","","","","","","","6","6"
"19724","Insider Store BR","0","0 / 0","6","0.99","0","2019-02-26 00:00:00",,"0","no","Retail & Shopping","Clothing","","","","","","","8.5","8.5"
"16605","NATIVE ADS FR","0","0 / 0","0","0.00","0","2015-05-13 00:00:00",,"0","no","Retail & Shopping","","0","0","0","0","0","0","0","0"
"16475","Tripadvisor PL: Migrated 08/11/2017","0","0 / 0","0","0.00","0","2015-05-12 00:00:00",,"0","no","Travel","Airport Parking & Transfers|Hotels & Accommodation","","","","","","","50","80"
