Name,URL,Category,Similar Web Category,2 months visit,GEO top 1,GEO top 2,GEO top 3,GEO top 4,GEO top 5,Global Rank,Country Rank,Category Rank
Lechuza (FR),http://www.lechuza.fr,"
    Home & Garden, Shopping & Retail",Shopping,36243,France - 92.07, - 4.57,Germany - 2.99,Algeria - 0.37,,1223117,58135,84643
Marks and Spencer (FR),http://www.marksandspencer.com,"
    Health & Beauty, Food & Drink, Shopping & Retail",Shopping/General_Merchandise,42471620,United Kingdom - 85.13,Ireland - 1.97,United States - 1.62,France - 1.37,Spain - 0.96,1259,64,44
Maxiscoot (FR),https://www.maxiscoot.com,"
    Automotive",Autos_and_Vehicles/Motorcycles,574882,France - 58.60,Belgium - 5.29,Italy - 4.50,Netherlands - 4.34,Finland - 3.67,140369,8092,134
Madura (FR),https://www.madura.fr,"
    Home & Garden",Shopping/Home_and_Garden,255798,France - 88.92, - 3.73,Netherlands - 1.58,Tunisia - 1.13,Germany - 0.97,281606,12382,1173
Mango (FR),http://shop.mango.com,"
    Shopping & Retail",Shopping/Clothing,31949525,Spain - 10.39,Turkey - 9.52,United States - 8.63,Russian Federation - 7.97,France - 7.85,2700,271,27
Mini in the box (FR),http://www.miniinthebox.com,"
    Shopping & Retail",Shopping/Consumer_Electronics,5027227,France - 15.04,Brazil - 9.08,United States - 5.77,Netherlands - 5.74,Germany - 5.32,21716,5130,200
Mister babyfoot (FR),http://www.misterbabyfoot.com,"
    Shopping & Retail",Shopping/Clothing,100085,France - 93.56,Algeria - 1.89,Switzerland - 1.27,Portugal - 0.96,Canada - 0.75,761140,35404,8299
Microsoft Public Affiliate Program (FR),https://www.microsoft.com,"
    Computers & Electronics, Gaming, Media & Entertainment",Computer_and_Electronics/Software,1419489987,United States - 19.24,Brazil - 5.74,United Kingdom - 4.72,Japan - 4.40,India - 3.85,46,52,4
MyDermaCenter (FR),https://www.my-dermacenter.com,"
    Health & Beauty",Unknown,91872,France - 91.85,Greece - 1.55,Belgium - 0.97,United Kingdom - 0.95,United States - 0.81,737113,32261,
Melvita (FR),https://fr.melvita.com,"
    Health & Beauty",Unknown,152403,France - 92.16,Belgium - 2.18,United Kingdom - 1.41,Switzerland - 0.82,Slovenia - 0.59,,,
Musement (FR),http://www.musement.com,"
    Travel",Arts_and_Entertainment/Music_and_Audio,1603191,Italy - 32.60,France - 13.37,Spain - 8.58,United States - 6.59,Germany - 6.17,71581,3779,1092
Myphotobook (FR),http://www.myphotobook.fr,"
    Shopping & Retail",Arts_and_Entertainment/Photography,71393,France - 95.90,Belgium - 1.59,Morocco - 1.06,Germany - 0.57,Canada - 0.52,771828,36020,2258
Optical Center (FR),http://www.optical-center.eu,"
    Health & Beauty, Shopping & Retail",Business_and_Industry,3628,France - 100.00,,,,,10712007,680735,1704877
Palladium (FR),https://palladiumboots.fr,"
    Fashion",Shopping/Clothing,65648,France - 90.45,Reunion - 2.05,Viet Nam - 1.77,Switzerland - 1.16,Poland - 1.06,953123,46126,9878
Parions Sport (FR),https://www.enligne.parionssport.fdj.fr,"
    Gaming",Unknown,2072744,France - 89.84,Reunion - 2.43, - 2.09,Switzerland - 1.30,Portugal - 0.75,,,
Nature & Decouvertes (FR),https://www.natureetdecouvertes.com,"
    Home & Garden",Shopping/Home_and_Garden,2268024,France - 91.27,Belgium - 3.16,Switzerland - 1.44,Congo Republic - 0.31,United Kingdom - 0.31,41594,1544,121
Philips (FR),https://www.philips.fr,"
    Shopping & Retail, Computers & Electronics, Media & Entertainment",Shopping/Consumer_Electronics,1840044,France - 89.36,Belgium - 1.92,Switzerland - 0.91,Morocco - 0.74,United Kingdom - 0.61,52316,1996,426
Ouigo (FR),https://ventes.ouigo.com,"
    Travel",Unknown,3491215,France - 94.47,Belgium - 0.97,United States - 0.60,United Kingdom - 0.53,Reunion - 0.38,,,
Park Inn (FR),http://www.parkinn.fr,"
    Travel",Travel/Accommodation_and_Hotels,22206,France - 59.50,Congo Republic - 13.87,Belgium - 12.10,Luxembourg - 7.92,Switzerland - 3.99,2220506,179937,15923
Planet Sushi (FR),https://www.planetsushi.fr,"
    Food & Drink",Food_and_Drink/Restaurants_and_Delivery,299582,France - 96.39,United States - 0.87,Belgium - 0.61,Monaco - 0.45,Canada - 0.45,227898,9132,646
Puressentiel (FR),https://fr.puressentiel.com,"
    Health & Beauty",Unknown,288046,France - 90.56,Belgium - 2.63,China - 1.00,Tunisia - 0.90,Luxembourg - 0.84,,,
Quidco Shoop (FR),https://www.shoop.fr,"
    Shopping & Retail",Shopping/General_Merchandise,240830,France - 77.72,Morocco - 10.08,Germany - 2.91,Belgium - 2.89,Algeria - 1.38,296460,13832,423
PUMA (FR),https://eu.puma.com,"
    Fashion, Sports & Recreation, Health & Beauty",Unknown,3097625,United Kingdom - 21.21,France - 21.07,Germany - 17.38,Portugal - 2.64,Poland - 2.43,,,
Promod (FR),http://www.promod.fr,"
    Fashion, Shopping & Retail",Shopping/Clothing,3633749,France - 94.46,Belgium - 2.23,Germany - 0.36, - 0.31,Reunion - 0.30,24159,820,349
Radisson Blu (FR),https://www.radissonblu.fr,"
    Travel",Travel/Accommodation_and_Hotels,13253,France - 85.04,Guadeloupe - 8.98,Belgium - 5.98,,,4546011,268078,45256
Raja (FR),http://www.raja.fr,"
    Business-To-Business, Shopping & Retail",Shopping,443951,France - 94.12,Spain - 1.55,Belgium - 1.07,Switzerland - 0.71,Morocco - 0.61,179963,7153,12617
Roompot (FR),https://www.roompot.fr,"
    Travel",Unknown,17418,France - 65.05,United Kingdom - 15.54,Belgium - 12.19,Germany - 5.98,Algeria - 1.24,2626361,202751,
ROXY (FR),http://www.roxy.fr,"
    Fashion",Shopping/Clothing,280527,France - 90.32,Bulgaria - 2.57,Mexico - 1.00,United Kingdom - 0.62,Canada - 0.60,276863,11660,3549
Rue de la déco (FR),http://www.ruedeladeco.com,"
    Shopping & Retail, Home & Garden",Shopping/Home_and_Garden,48648,France - 90.31,Portugal - 2.33,Canada - 2.04,Netherlands - 1.86,United Kingdom - 1.44,1124271,53286,5662
Rue du TeeShirt (FR),https://www.rueduteeshirt.com,"
    Shopping & Retail",Shopping/Clothing,51969,France - 93.12,Ecuador - 1.79,Switzerland - 1.67,Canada - 1.38,Algeria - 1.00,805354,38435,8650
QUIKSILVER (FR),http://www.quiksilver.fr,"
    Sports & Recreation",Shopping/Sports,513151,France - 95.11,Spain - 0.72,Dominican Republica - 0.61,Mexico - 0.59,Italy - 0.45,222361,9025,867
Securitegooddeal.com (FR),http://www.securitegooddeal.com,"
    Home & Garden",Shopping/Consumer_Electronics,129535,France - 81.90,Belgium - 3.73,Congo Republic - 3.39,Martinique - 1.41,Tunisia - 1.26,706361,34523,4437
Simply To Ski (FR),https://www.simplytoski.fr,"
    Travel, Sports & Recreation",Unknown,86525,France - 92.71,Belgium - 3.68,Spain - 1.74, - 1.71, - 0.16,957198,49839,
Sarenza.com (FR),http://www.sarenza.com,"
    Shopping & Retail",Shopping/Clothing,5762384,France - 93.86,Belgium - 0.86,Congo Republic - 0.68,Switzerland - 0.49,Canada - 0.29,16753,563,237
Sixt mobility online (FR),http://www.sixt.fr,"
    Travel, Automotive",Autos_and_Vehicles/Car_Rentals,1310077,France - 84.92,Belgium - 2.15,Congo Republic - 1.99,Switzerland - 1.10,United Kingdom - 0.97,75329,3025,47
SNCF Voyages AutoTrain (FR),https://autotrain.oui.sncf,"
    Automotive",Unknown,101994,France - 95.85, - 1.92,Germany - 1.58,Canada - 0.64,,,,
Selectcamp (FR),https://www.selectcamp.fr,"
    Travel",,,,,,,,,,
Smartbox (FR),https://www.smartbox.com,"
    Shopping & Retail",Shopping/Gifts,4194561,France - 49.87,Italy - 29.90,Spain - 12.08,Switzerland - 3.79,Viet Nam - 0.94,15346,1026,4
Staples (FR),http://www.staples.fr,"
    Computers & Electronics, Shopping & Retail",Business_and_Industry,163832,France - 95.89,Germany - 0.83,Canada - 0.72, - 0.70,Morocco - 0.45,513129,22208,52307
Student.com (FR),https://www.student.com,"
    Travel",Business_and_Industry/Real_Estate,955384,United Kingdom - 25.25,United States - 16.51,France - 6.84,China - 4.03,Australia - 3.81,102190,20881,752
Supra (FR),https://suprafootwear.fr,"
    Fashion",Shopping/Clothing,15451,France - 100.00,,,,,3632357,182006,30214
