Name,URL,Category,Similar Web Category,2 months visit,GEO top 1,GEO top 2,GEO top 3,GEO top 4,GEO top 5,Global Rank,Country Rank,Category Rank
eDreams AR,http://www.edreams.com.ar,Travel,Travel/Tourism,1156771,Argentina - 96.25,Chile - 0.98,Paraguay - 0.93,Peru - 0.34,Bolivia - 0.19,86267,1111,833
autobandenmarkt / 123pneus BE,http://autobandenmarkt.be,Retail & Shopping,Autos_and_Vehicles/Automotive_Industry,115075,Belgium - 93.47,Poland - 3.70,Netherlands - 2.83,,,539957,6506,1287
daekonline.dk: Migrated 21/12/2017,http://www.daekonline.dk,Retail & Shopping,Autos_and_Vehicles/Automotive_Industry,364431,Denmark - 93.05,France - 1.45,Germany - 1.33,United States - 1.13,United Kingdom - 0.87,210327,1153,500
Tirendo NL: Migrated 03/11/2017,http://www.tirendo.nl,Retail & Shopping,Autos_and_Vehicles/Automotive_Industry,66129,Netherlands - 60.52,France - 9.94,Belgium - 8.81,Bulgaria - 5.80,Serbia - 2.98,1029341,32601,2458
eDreams MX,http://www.edreams.com.mx,Travel,Travel/Tourism,759968,Mexico - 95.86,United States - 0.82,Spain - 0.82,Argentina - 0.77,Colombia - 0.58,104437,2229,1024
ab-in-den-urlaub DE - migrated,http://www.ab-in-den-urlaub.de,Travel,Travel,7507220,Germany - 90.53,Austria - 2.12,Switzerland - 2.04,Netherlands - 0.93,Czech Republic - 0.87,10793,406,216
gebuhrenfrei.com DE - migrated,http://www.gebuhrenfrei.com,Finance & Insurance,Finance,3520038,Germany - 95.20,Austria - 0.60,Switzerland - 0.48,India - 0.40,Viet Nam - 0.32,36016,1460,1287
Christ DE - migrated,http://www.christ.de,Retail & Shopping,Shopping/Jewelry,2477343,Germany - 94.20,Switzerland - 1.21,Austria - 0.74,Poland - 0.40,Netherlands - 0.37,36136,1467,33
neumaticos-online.es: Migrated 21/12/2017,http://www.neumaticos-online.com,Retail & Shopping,Autos_and_Vehicles,2678,Spain - 100.00,,,,,8618915,323711,158405
Santander Consumer Bank DE - migrated,http://www.santander.de,Finance & Insurance,Finance/Banking,5923256,Germany - 95.72,Switzerland - 0.43,Poland - 0.41,Mexico - 0.37,Venezuela - 0.34,15836,574,283
Tassimo NL: Migrated 08/01/2018,http://www.tassimo.nl,Retail & Shopping,,,,,,,,,,
Yamamay IT,http://www.yamamay.com,Retail & Shopping,Shopping/Clothing,975402,Italy - 60.81,Spain - 7.46,Greece - 5.49,Germany - 3.79,United Kingdom - 3.22,93661,3246,1368
