Name,URL,Category,Similar Web Category,2 months visit,GEO top 1,GEO top 2,GEO top 3,GEO top 4,GEO top 5,Global Rank,Country Rank,Category Rank
Drdetoxbox.com,https://www.drdetoxbox.com,Health and beauty,Unknown,27545,Netherlands - 73.80,Belgium - 12.20,Denmark - 7.99,Russian Federation - 4.47, - 1.54,2451157,78833,
Eibmarkt.com,http://www.eibmarkt.com,Office,Shopping/Consumer_Electronics,287981,Germany - 65.92,United Kingdom - 4.50,Austria - 3.67,Switzerland - 3.52,Italy - 2.31,311753,23396,2093
Eresin,https://www.eresin.com.tr,Travel and holidays,Travel/Accommodation_and_Hotels,13642,Turkey - 68.50,Argentina - 7.71,Germany - 5.56,Iran - 5.27,Greece - 3.98,3241791,110741,28045
Eufylife.com,https://www.eufylife.com,Gifts and gadgets,Unknown,348154,United States - 51.43,Germany - 13.41,United Kingdom - 11.28,Canada - 3.21,China - 2.23,264539,90246,
Ezee-e.co.uk,http://www.ezee-e.co.uk,Health and beauty,Unknown,8852,United Kingdom - 55.31,Denmark - 44.69,,,,4124084,417219,
FaceTheFuture.co.uk,https://www.facethefuture.co.uk,Health and beauty,Beauty_and_Fitness/Beauty,254511,United Kingdom - 69.68,United States - 4.70,Greece - 2.26,Turkey - 1.97,Denmark - 1.87,358124,27265,331
eOpticians.co.uk,https://eopticians.co.uk,Health and beauty,Unknown,19998,United Kingdom - 87.01,United States - 7.47,Isle of Man - 5.52,,,3087976,305253,
Fantasticservices.com,https://www.fantasticservices.com,Home and garden,Business_and_Industry,351040,United Kingdom - 77.08,United States - 4.21,Bulgaria - 2.46,Spain - 1.83,Germany - 1.77,298399,20800,27248
Falkensteiner.com,https://www.falkensteiner.com,Travel and holidays,Travel/Accommodation_and_Hotels,397722,Germany - 28.62,Austria - 22.30,Italy - 14.16,Slovakia - 5.30,Serbia - 4.13,245220,36396,1128
Ferrerhotels.com,https://www.ferrerhotels.com,Travel and holidays,Travel/Accommodation_and_Hotels,93331,Spain - 57.01,Germany - 12.16,United Kingdom - 9.87,United States - 2.79,Slovakia - 2.70,967416,43997,5065
